location_slug,location_name,threat_types,interval_count,total_duration_hours,geocode_status,query,latitude,longitude,osm_type,osm_id,place_class,place_type,importance,display_name,boundingbox,source
м_Старокостянтинів_та_Старокостянтинівська_територіальна_громада,м. Старокостянтинів та Старокостянтинівська територіальна громада,air_raid,21,19.549,ok,"Старокостянтинів, Україна",49.7561630,27.2087889,relation,3353648,,administrative,0.4974917895685216,"Старокостянтинів, Старокостянтинівська міська громада, Хмельницький район, Хмельницька область, Україна",49.7223197;49.7783966;27.1372756;27.2955014,OpenStreetMap Nominatim
Надвірнянський_район,Надвірнянський район,air_raid,14,19.352,ok,"Надвірнянський район, Україна",48.4371696,24.4385373,relation,11806259,,administrative,0.4815992033722637,"Надвірнянський район, Івано-Франківська область, Україна",48.1178850;48.7564901;24.1146162;24.8238689,OpenStreetMap Nominatim
Верховинський_район,Верховинський район,air_raid,15,19.030,ok,"Верховинський район, Україна",48.0011714,24.7426724,relation,1741638,,administrative,0.46861072583074226,"Верховинський район, Івано-Франківська область, Україна",47.7243679;48.2776251;24.5543966;25.0837361,OpenStreetMap Nominatim
м_Лубни_та_Лубенська_територіальна_громада,м. Лубни та Лубенська територіальна громада,air_raid,19,19.011,ok,"Лубни, Україна",50.0118206,33.0030821,relation,18281343,,town,0.5207288037753699,"Лубни, Лубенська міська громада, Лубенський район, Полтавська область, 37500-37509, Україна",49.9739335;50.0582082;32.9365075;33.0517620,OpenStreetMap Nominatim
Макарівська_територіальна_громада,Макарівська територіальна громада,air_raid,8,18.155,ok,"Макарівська, Україна",50.6057700,29.6356200,relation,4673194,,administrative,0.35699141996923245,"Макарівська Буда, Макарівська селищна громада, Бучанський район, Київська область, Україна",50.5993516;50.6124804;29.6259016;29.6481398,OpenStreetMap Nominatim
Первомайська_територіальна_громада,Первомайська територіальна громада,air_raid,23,17.946,ok,"Первомайська територіальна громада, Україна",48.4725938,37.0761148,way,172995097,,secondary,0.05339029907682914,"Первомайська вулиця, Добропілля, Добропільська міська громада, Покровський район, Донецька область, 85001, Україна",48.4660765;48.4790359;37.0736771;37.0783243,OpenStreetMap Nominatim
м_Краматорськ_та_Краматорська_територіальна_громада,м. Краматорськ та Краматорська територіальна громада,air_raid,16,17.707,ok,"Краматорськ, Україна",48.7389415,37.5843812,relation,3936275,,city,0.5694952943834666,"Краматорськ, Краматорська міська громада, Краматорський район, Донецька область, 84300-84390, Україна",48.6707305;48.7838371;37.4569748;37.6383462,OpenStreetMap Nominatim
Бахмутська_територіальна_громада,Бахмутська територіальна громада,air_raid,27,16.980,ok,"Бахмутська територіальна громада, Україна",47.1204838,37.5299105,way,674127890,,tertiary,0.053398552681773064,"Бахмутська вулиця, 20А мікрорайон, Маріуполь, Центральний район, Маріупольська міська громада, Маріупольський район, Донецька область, 87547, Україна",47.1201548;47.1208140;37.5287225;37.5310989,OpenStreetMap Nominatim
м_Кременчук_та_Кременчуцька_територіальна_громада,м. Кременчук та Кременчуцька територіальна громада,air_raid,16,13.798,ok,"Кременчук, Україна",49.0928529,33.4308188,relation,2320579,,administrative,0.5840608638652798,"Кременчук, Кременчуцький район, Полтавська область, 39600-39689, Україна",48.9965557;49.1889873;33.3732288;33.5111075,OpenStreetMap Nominatim
м_Чугуїв_та_Чугуївська_територіальна_громада,м. Чугуїв та Чугуївська територіальна громада,air_raid;artillery_shelling,3,11.436,ok,"Чугуїв, Україна",49.8366260,36.6899391,relation,2563766,,administrative,0.5479941674563139,"Чугуїв, Чугуївська міська громада, Чугуївський район, Харківська область, Україна",49.8126539;49.8567989;36.6412152;36.7153700,OpenStreetMap Nominatim
Курахівська_територіальна_громада,Курахівська територіальна громада,air_raid,14,10.905,ok,"Курахівська територіальна громада, Україна",48.0731274,37.3817978,way,330830660,,hotel,5.335545891503803e-05,"Профілакторій ""Україна"", С051136, Лісівка, Мар'їнська міська громада, Покровський район, Донецька область, 85488, Україна",48.0722937;48.0739799;37.3797270;37.3843282,OpenStreetMap Nominatim
НовоградВолинський_район,Новоград-Волинський район,air_raid,5,10.747,ok,"Новоград-Волинський район, Україна",50.6262055,27.7007816,relation,11952373,,administrative,0.4908506518712273,"Звягельський район, Житомирська область, Україна",50.1695949;51.0828007;27.1864173;28.2816083,OpenStreetMap Nominatim
